ItemID,ItemName,Category,UoM,UnitPriceUSD,UnitPriceIDR,MinStock,LastStock,Location,Photo
32.0044,Firefighting Foam And Water Applicator,,,0,0,1,0,N/A,
32.0043,"Fire Extinguisher, 150 lbs Dry Chemical On Wheel    c/w. Hose & Nozzle",,,0,0,1,0,N/A,
2.0002,AC Indoor ,,,0,,1,1,WH - 3/A1,
2.0003,Tubing AC 1/4,,,0,,1,1,WH - 3/A1,
3.0001,"Ball Bearing Double Shield ""FAG / NSK"" - 6308-2Z ( for. Pill Agitator )",,,0,,1,4,WH-2/B,
3.0002,"Ball Bearing Double Shield ""FAG"" - 6312-C-2Z ( for. Day Tank / Mixer Pump / Charging Pump )",,,0,,1,3,WH-2/B,
3.0003,"Ball Bearing Double Shield ""FAG"" - 6306-2Z ( for. Agitator Trip Tank / Agitator Active Tank )",,,0,,1,2,WH-2/B,
3.0004,"Ball Bearing ""NACHI / KOYO"" - 6311-C3 ( for. Mixer Pump )",,,0,,1,3,WH-2/B,
3.0005,"Ball Bearing Double Shield ""FAG"" - 6311-2Z ( for. Day Tank )",,,0,,1,1,WH-2/B,
3.0006,Bearing - 6207RS UBC,,,0,,1,5,WH - PASON/Q,
3.0007,Bearing - 6204LU/6204N/6204 DU NTN / NSK,,,0,,1,4,WH - PASON/Q,
3.0008,Bearing VIN 101,,,0,,1,5,WH - PASON/Q,
3.0009,Beating - 6904RS SMT,,,0,,1,7,WH - PASON/Q,
3.001,Tapered Roller Bearing - TIMKEN LM12749,,,0,,11,2,WH - PASON/Q,
3.0011,"Two Grove Adjustable Pully Bore 3-1.4""",,,0,,2,1,WH - PASON/Q,
3.0012,Tapered Roller Bearing - TIMKEN L68110 - L68149,,,0,,2,2,WH - PASON/Q,
3.0013,Ball Bearing - MCM P25OBBRG,,,0,,2,2,WH - PASON/Q,
3.0014,Ball Bearing - RAFNIR SMN114K x 10,,,0,,1,2,WH - PASON/Q,
3.0015,Bearing - 32308,,,0,,1,1,WH - PASON/Q,
3.0016,Bearing - SKF 22215E/C3,,,0,,1,1,WH - PASON/Q,
3.0017,Bearing - 6302 2BS C3 PFI,,,0,,2,5,WH - PASON/Q,
3.0018,Bearing - 6210LLU NTN,,,0,,1,2,WH - PASON/Q,
4.0001,"Stud Bolt & Nut 1-1/3"" x 7-1/8"" (35Mm X 181Mm)",,,0,,2,16,WH-2/B,
4.0002,Stud Bolt & Nut 28Mm X 190Mm,,,0,,2,0,WH - 2/F,
4.0003,Stud Bolt & Nut 22Mm X 160Mm,,,0,,2,22,WH - 2/F,
4.0004,Stud Bolt & Nut Size: 16Mm x 155Mm,,,0,,1,0,WH - 2/S,
4.0005,Stud Bolt & Nut Size: 25Mm x 210Mm,,,0,,1,0,WH - 2/S,
4.0006,Nut 7/8 Inch,,,0,,1,2,WH - 2/S,
4.0007,Bolt & Nut Size: 1-1/8 Inch x 8 Inch ( 28Mm x 203Mm ),,,0,,1,33,WH - 2/T,
4.0008,Bolt & Nut Size: 1-1/4 Inch x 8-7/16 Inch,,,0,,1,6,WH - 2/T,
4.0009,Bolt & Nut Size: 35Mm x 239Mm,,,0,,1,6,WH - 2/T,
4.001,Bolt & Nut Size: 1-3/8 Inch x 10-3/4 Inch,,,0,,2,12,WH - 2/T,
4.0011,Stud Bolt & Nut 22Mm x 130Mm,,,0,,1,80,WH - 2/W,
4.0012,"Stud Bolt & Nut 1-1/8"" x 5-3/4""",,,0,,5,13,WH - 2/W,
4.0013,"Stud Bolt Full Drat 7/8"" x 1 Mtr",,,0,259000,1,0,WH - 2,
4.0014,"Nut 7/8""",,,0,9000,5,0,WH - 2,
4.0015,"Washer Plate 7/8""",,,0,4000,5,0,WH - 2,
4.0016,"Stud Bolt Full Drat 3/4"" x 1 Mtr",,,0,171000,5,0,WH - 2,
4.0017,"Nut 3/4""",,,0,6000,5,0,WH - 2,
4.0018,"Washer Plate 3/4""",,,0,3000,5,0,WH - 2,
4.0019,Bolt & Nut M12 x 35Mm SS 304,,,0,,1,40,WH - 3,
4.002,Bolt & Nut M14 x 50Mm SS 304,,,0,,1,40,WH - 3,
4.0021,"Stud Bolt & Nut - 1-3/8"" x 11.25",,,0,,1,53,WH - PASON/A3,
4.0022,"Stud Bolt & Nut - 7/8"" x 6.25",,,0,,1,31,WH - PASON/A3,
4.0023,"Stud Bolt & Nut - 1-1/8"" x 7.5",,,0,,2,9,WH - PASON/A3,
5.0001,Ring Joint RX - 73,,,0,,2,4,WH - 2/K,
5.0002,Ring Joint RX - 44,,,0,,1,9,WH - 2/L,
5.0003,Ring Joint R - 44 F: Mud Pump (Octagonal),,,0,,4,5,WH - 2/L,
5.0004,"Ring Joint R - 35 F: 3.1/8"" - 5 K",,,0,,4,5,WH - 2/L,
5.0005,Ring Joint RX - 35,,,0,,1,24,WH - 2/L,
5.0006,Ring Joint RX - 37,,,0,,2,1,WH - 2/L,
5.0007,Ring Joint RX - 39,,,0,,2,14,WH - 2/L,
5.0008,"Ring Joint R - 39 F: 4.1/16"" - 5 K ( Octagonal )",,,0,,2,3,WH - 2/L,
5.0009,Ring Joint R - 24,,,0,,2,39,WH - 2/L,
5.001,Ring Joint RX - 24,,,0,,2,21,WH - 2/L,
5.0011,Ring Joint RX - 45 / RX - 46,,,0,,2,29,WH - 2/L,
5.0012,Ring Joint R - 49,,,0,,2,4,WH - 2/L,
5.0013,"Ring Joint BX -160 F: 13.5/8"" - 5 K",,,0,,1,10,WH - 2/L,
5.0014,"Ring Joint R - 53 F: 11"" - 3000 Psi (Octagonal)",,,0,,1,5,WH - 2/L,
5.0015,Ring Joint RX - 57,,,0,,1,4,WH - 2/L,
5.0016,Ring Joint RX - 59,,,0,,2,2,WH - 2/L,
5.0017,Ring Joint RX - 27,,,0,,2,1,WH - 2/L,
5.0018,Front Packer 13-5/8” x 10K for. Blind Ram 5”,,,0,,2,1,RM OFFICE,
6.0001,Mechanical Seal HM 1 - 2-1/2 TC/TC/V,,,0,,10,2,WH-2/B,
6.0002,"Mechanical Seal 250 - Tung Carb, P25MS/TT ""OIL BARRON SUPPLY"" PN. OBS000327 ( for. Centrifugal Pump )",,,0,,1,0,WH-2/B,
6.0003,"Inboard Bearing ""OIL BARRON SUPPLY"" PN. P251BBRG ( for. Centrifugal Pump MCM 250 )",,,0,,3,2,WH-2/B,
6.0004,Gland Assy P/N. H20622 for. Centrifugal Pump 250 Supreme,,,0,,1,2,WH - 2/W,
7.0001,Joint Swivel Repair Kit WELL CONTROL SOLID PN. 1247055 for. FIG 1502,,,0,,1,1,WH - 2/H,
8.0001,"Cable Tie 8""",,,0,,1,0,WH - 3/E3,
9.0001,Hub Coupling Type Jaw Series L LOVEJOY PN. F180,,,0,,1,1,WH - 2/H,
9.0002,Rubber Coupling Insert QUICKFLEX PN. QF1000,,,0,,1,1,WH - 2/H,
9.0003,Para Flex Tyre Coupling DODGE PN. PX90,,,0,,1,2,WH - 2/K,
9.0004,Para Flex Tyre Coupling DODGE PN. PX80,,,0,,1,1,WH - 2/K,
9.0005,Rubber Coupling Size: 140 CENTAFLEX,,,0,,1,0,WH - 2/K,
9.0006,Rubber Coupling Size: 10 TB Wood Sleeve SUREFLEX PN. 10J,,,0,,1,2,WH - 2/K,
9.0007,Coupling Sureflex LOVEJOY Size: 11,,,0,,1,1,WH - 2/W,
9.0008,Rubber Coupling L190,,,0,,1,1,WH - PASON/G,
9.0009,Rubber Coupling LOVEJOY S/N. SW-190 12275,,,0,,1,1,WH - PASON/G,
10.0001,Elmot 37 KW 1450 RPM 380 V / 50 HZ,,,0,,1,1,WH - 2/S,
10.0002,"AC Electric Motor 30KW, 51Amp, 416V, 1476 RPM, IP 66, 50 Hz",,,0,,1,1,WH - 2/X,
10.0003,"AC Electric Motor 30KW, 53,6Amp, 415V, 1475 RPM, IP 56, 50 Hz",,,0,,1,1,WH - 2/X,
11.0001,Capacitor 7.6UF 400/550 VAC MC,,,0,,1,1,WH - 3/E2,
11.0002,Capacitor 370UF CSC P/N. 1499-546,,,0,,1,1,WH - 3/E2,
11.0003,Capacitor 25UF 400/450 V MC,,,0,,1,2,WH - 3/E2,
11.0004,Switch On / Off 10A 360V for Bug Blower,,,0,,1,2,WH - 3/E2,
11.0005,Capacitor 15+8UF / 500 VAC SUREPHON P/N. 20230820A,,,0,,1,1,WH - 3/E2,
11.0006,Steker 2 Pin 10A,,,0,,1,2,WH - 3/E2,
11.0007,Steker 3 Pin 15A,,,0,,1,3,WH - 3/E2,
11.0008,Lamp Mercury HPIT 1000W,,,0,,1,0,WH - 3/E2,
11.0009,"Lamp Holder - E220492 600V/1500W, X-A39-2 LEVITON",,,0,589000,1,0,WH - 3/E2,
11.001,Ballast TLD 20/18 W SINAR S/N. TS-220,,,0,,1,4,WH - 3/E2,
11.0011,Fitting Lamp TLD PHILIPS,,,0,,1,0,WH - 3/E2,
11.0012,Ballast TLD PHILIPS 36W,,,0,81500,1,0,WH - 3/E2,
11.0013,Terminal Block 600V SCHUN S/N. V7-W6,,,0,,1,12,WH - 3/E2,
11.0014,Connector Cable Orange,,,0,,1,2,WH - 3/E2,
11.0015,"Control, Load & Motor Switch 25A / 690V STAHL S/N. 8006/4",,,0,,1,1,WH - 3/E2,
11.0016,Saklar Lamp 2 Switch CLIPSAL,,,0,,1,1,WH - 3/E2,
11.0017,Wall Stop Kontak 2 Pole 12 Hole,,,0,,2,2,WH - 3/E2,
11.0018,"Gland Cable Explotion Proof 3/4"" ATCAB",,,0,,1,5,WH - 3/E2,
11.0019,"Gland Cable Explotion Proof 1/2"" M20 HAWKE",,,0,,1,6,WH - 3/E2,
11.002,Safety Electrical Special ERICSON,,,0,,1,1,WH - 3/E2,
11.0021,Gland Cable BPG 29 FORT,,,0,,1,5,WH - 3/E2,
11.0022,Gland Cable BPG 36 FORT,,,0,,5,2,WH - 3/E2,
11.0023,Gland Cable M20 x 1.5,,,0,,10,58,WH - 3/E2,
11.0024,Gland Cable M25 x 1.5,,,0,,1,22,WH - 3/E2,
11.0025,Gland Cable M32 x 1.5,,,0,,1,36,WH - 3/E2,
11.0026,Gland Cable M40 x 1.5,,,0,,1,24,WH - 3/E2,
11.0027,Overload Relay Thermal Unit SQD-B7.70 S/N. HTR.4.69.5.18 Amp,,,0,,1,3,WH - 3/E2,
11.0028,Lasdop 3 x 6 Mm / 4 x 2.6 Mm,,,0,,,43,WH - 3/E2,
11.0029,Double Pole Mech. 30 MD 10A/250V CLIPSAL,,,0,,,3,WH - 3/E2,
11.003,TLD-18W Length 60 Cm PHILIPS,,,0,,,11,WH - 3/E2,
11.0031,TLD-10W Length 60 Cm VOLTO,,,0,,,4,WH - 3/E2,
11.0032,Box Panel H.376.5 Mm x W.281.5Mm x D.98.5Mm NAGER S/N. RAL9010,,,0,,,1,WH - 3/E2,
11.0033,"Socket Outlet, 5 Round Pin 32A / 500V",,,0,,,4,WH - 3/E2,
11.0034,"Switch Socket Outlet, 3 Phase 5 Pin 32A / 500V P/N. EY56C532",,,0,,,2,WH - 3/E2,
11.0035,MCB Box 4 Modul 4CC4 CLIPSAL,,,0,,,1,WH - 3/E2,
11.0036,Thermal Overload LRD265 SCHNEIDER,,,0,,,1,WH - 3/E2,
11.0037,Relay LRD21 SCHNEIDER,,,0,,,1,WH - 3/E2,
11.0038,Auxiliary Contact 240-415VAC / 24-130VDC P/N. A9A26924,,,0,,,4,WH - 3/E2,
11.0039,Contactor 3 Pole 65A / 440V SCHNEIDER P/N. LC1D65AEHE,,,0,,,1,WH - 3/E2,
11.004,RCCB W/. Over Current Protection 20A / 230/240V (1P+N/C20/30MA-A) S/N. AGD32620,,,0,,,6,WH - 3/E2,
11.0041,Contactor LC1D18F7 3 Pole 18A,,,0,,,2,WH - 3/E2,
11.0042,Relay LRD32 23-32A,,,0,,,1,WH - 3/E2,
11.0043,"RCBO - 4 Modul / MCB 4P, 40A HAGER S/N. ADM4470",,,0,,,1,WH - 3/E2,
11.0044,"Thermal Overload Relay CHINT S/N. NXR-100, 55A - 70A",,,0,,,1,WH - 3/E2,
11.0045,AC Contactor CHINT NXC-85 220V,,,0,,,1,WH - 3/E2,
11.0046,Contactor 11Kw / 115A / 250VAC ABB S/N. 1SBL23700 1R1400,,,0,,,1,WH - 3/E2,
11.0047,Thermal Overload Relay 16-20A ABB S/N. 1SAZ7212201R1049 / TF42-20,,,0,,,1,WH - 3/E2,
11.0048,Thermal Overload Relay 13-16A ABB S/N. 1SAZ7212201R1047 / TF42-16,,,0,,,1,WH - 3/E2,
11.0049,Auxiliary Contact 3A / 400V ABB P/N. 1SBNO10120R1000/CAL4-11,,,0,,,1,WH - 3/E2,
11.005,"MCB 1 Phase CD1 240V, 10A CLIPSAL S/N. 4RCBE210/30S",,,0,,,1,WH - 3/E2,
11.0051,"MCB 2 Phase C20, 20A / 240V ABB DS201",,,0,,,2,WH - 3/E2,
11.0052,"MCB 3 Phase C20, 16A / 416V SCHNEIDER 1C60H",,,0,,,2,WH - 3/E2,
11.0053,"MCB 3 Phase C100, 100A / 400V SCHNEIDER C120",,,0,,,1,WH - 3/E2,
11.0054,MCB 4 Phase C20 / 400V S/N. DZ47LE-63G,,,0,,,1,WH - 3/E2,
11.0055,MCB 1 Phase CHINT NXB-63 / 280V,,,0,,,1,WH - 3/E2,
11.0056,"MCCB NSX250F 4P 250A 36kA, Schneider, Includ Rotary Handle",,,0,3724000,,0,WH - 3/E2,
11.0057,Contactor CA7-60 SCHUN,,,0,,,1,WH - 3/E2,
11.0058,Relay Overload CEP7 SCHUN,,,0,,,1,WH - 3/E2,
11.0059,Generator AVR R250 / GE7518 S/N. 60206/1035,,,0,,,1,WH - 3/E2,
11.006,Generator AVR Ex Used,,,0,,,1,WH - 3/E2,
11.0061,Contactor LC1D115M7 SCHNEIDER,,,0,,,1,WH - 3/E3,
11.0062,Thermal Over Load Relay LRD4367 SCHNEIDER,,,0,,,2,WH - 3/E3,
11.0063,Socket Aplliance Inlet CLIPSAL 50A / 500V P/N. 56A1550,,,0,,,1,WH - 3/E3,
